,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bubbles,,,,,,,,,,,,
,,,,,,,,,,,,
"    ASTORIA, Moscato D’ Asti, PIEDMONT, IT (NV)",38,,,,,,,,,,,
"RUFFINO. Prosecco Rose, IT (NV)",46,18,44,,,,,,,,,
"FERRARI, Brut, Trento, IT (NV)",75,30,90,,,,,,,,,
"PALMERS & CO, Brut Reserve, Champagne, FR (NV)",86,34,103,,,,,,,,,
"NICOLAS FEUILLATTE, Brut Reserve,Champagne, FR (NV)",86,34,103,,,,,,,,,
"PALMER & CO, Brut Reserve,Champagne, FR (NV)",142,57,142,,,,,,,,,
"TAITTINGER, Brut Reserve,Champagne, FR (NV)",142,57,114,,,,,,,,,
"BEAU JOIE, Brut Reserve,Champagne, FR (NV)",142,57,112,,,,,,,,,
"BEAU JOIE ROSE, Brut Reserve,Champagne, FR (NV)",142,57,120,,,,,,,,,
,,,,,,,,,,,,
Sauvignon Blanc,,,,,,,,,,,,
,,,,,,,,,,,,
"CHATEAU DE SANCERRE, Sancerre, Loire valley, FR (2019)",66,26,65,,,,,,,,,
"LA CREMA, Sonoma County, CA (2020)",55,22,56,,,,,,,,,
"TWOMEY, Napa Valley, CA (2019)",55,22,58,,,,,,,,,
"DUCKHORN, Napa Valley, CA (2018)",75,30,75,,,,,,,,,
"CRAGGY RANGE, Marlborough, NZ (2018)",75,30,65,,,,,,,,,
,,,,,,,,,,,,
interesting whites,,,,,,,,,,,,
"    MUGA, Rioja Blanco, Rioja, ES (2019)",38,15,46,,,,,,,,,
"  LAGLER, Gruner Veltliner, AT (2019)",38,15,55,,,,,,,,,
"    LES ALLIES,  Chablis, Burgundy, FR (2018)",54,22,65,,,,,,,,,
"    RAOUL GAUTHERIN,  Chablis, Burgundy, FR (2018)",54,22,70,,,,,,,,,
"STAGS' LEAP, Viognier, Napa Valley, CA (2018)",71,28,85,,,,,,,,,
,,,,,,,,,,,,
italian whites,,,,,,,,,,,,
,,,,,,,,,,,,
"COPPO LA ROCCA, Gavi, Canelli, IT ( 2019)",38,15,46,,,,,,,,,
"FALLEGRO GAGLIARDO, Favorita, Piemonte, IT (2019)",38,15,46,,,,,,,,,
"BANFI PRINCIPESSA, Gavi,Piedmont, IT (2019)",44,18,53,,,,,,,,,
"FAZI BATTAGLIA, Verdicchio, Le Marche, IT (2019)",43,17,52,,,,,,,,,
"DONNAFUGATA ""ANTHILIA"", Cattarato, Sicily, IT (2019)",52,21,62,,,,,,,,,
"PRA OTTO, Soave, Veneto, IT (2020)",39,16,47,,,,,,,,,
"LA SPINETTA, Moscato, Piedmont, IT (2020) ",43,17,52,,,,,,,,,
"JERMANN, Pinot Grigio, Friuli, IT (2019)",53,21,64,,,,,,,,,
"SANTA MARGHERITA, Pinot Grigio Alto Adige, IT (2019)",62,25,62,,,,,,,,,
"KALTERN “SOLL”,Pinot Grigio, Alto Adige, IT (2018)",60,24,60,,,,,,,,,
"VIETTI, Arneis, Piedmont, IT (2019)",67,27,66,,,,,,,,,
"CA MAIOL MAIOLO “LUGANA,” Trebbiano, Veneto, IT (2018)",48,19,58,,,,,,,,,
,,,,,,,,,,,,
Chardonnay,,,,,,,,,,,,
"KIM CRAWFORD, Marlborough, NZ (2019)",42,17,50,,,,,,,,,
"JACKSON ESTATE, Santa Maria Valley, CA (2018) ",52,21,59,,,,,,,,,
"LA CREMA, Sonoma Coast, CA (2018) ",52,21,59,,,,,,,,,
"CASTELLO DELLA SALA “BRAMITO DEL CERVO"", Umbria, IT (2018) ",52,21,62,,,,,,,,,
"PRISONER, Napa, CA(2019) ",70,28,70,,,,,,,,,
"JORDAN, Russian River Valley, CA (2018) ",70,28,87,,,,,,,,,
"ROMBAUER, Carneros, CA(2019) ",75,30,90,,,,,,,,,
"7 CELLARS ""Elways Reserve"", Carneros, CA (2019)",75,30,90,,,,,,,,,
"J VINEYARDS, Russian River, CA (2018)",86,34,86,,,,,,,,,
"HESS ""PANTHERA"", Russian River Valley, CA (2016)",100,40,98,,,,,,,,,
,,,,,,,,,,,,
Rosé,,0,0,,,,,,,,,
rose,,,,,,,,,,,,
"WHISPERING ANGEL, Grenache/Cinsault,  Côtes de Provence, FR (2018)",62,25,62,,,,,,,,,
"AIX, Grenache/Cinsault/Syrah, Côtes de Provence, FR (2020)",50,20,48,,,,,,,,,
"CHATEAU BEAULIEU, Cuvée Alexandre Rosé, Provance, FR (2019)",56,22,67,,,,,,,,,
,,, ,,,,,,,,,
Pinot Noir,, , ,,,,,,,,,
"LA CREMA, Willamette Valley, OR (2018)",63,25,76,,,,,,,,,
"MAYER AM PFARRPLATZ, Wienland, AT (2017)",49,20,55,,,,,,,,,
"JACKSON ESTATE, Anderson Valley, CA (2017)",60,24,62,,,,,,,,,
"GAP'S CROWN VINEYARD ""THREE STICKS"", Sonoma Coast, CA (2018)",78,31,125,,,,,,,,,
"ETUDE, Carneros, CA (2018)",71,28,85,,,,,,,,,
"J VINEYARDS, Russian River, CA (2017)",86,34,86,,,,,,,,,
"EMERITUS “HALBERG RANCH”, Russian River, CA (2017)",89,36,89,,,,,,,,,
"DOMAINE SERENE ""EVENSTAD RESERVE"", Willamette Valley, OR (2017)",97,39,150,,,,,,,,,
,,0,0,,,,,,,,,
,,0,0,,,,,,,,,
CABERNET SAUVIGNON,, , ,,,,,,,,,
,, , ,,,,,,,,,
"LOUIS m MARTINI, Napa Valley, CA (2017)",69,28,83,,,,,,,,,
"JACKSON ESTATE, Alexander Valley, CA (2016)",60,24,68,,,,,,,,,
"SILVER TOTEM, Columbia Valley, WA (2017)",60,24,72,,,,,,,,,
"PRISONER, Napa Valley, CA (2018)",82,33,98,,,,,,,,,
"JORDAN, Alexander Valley, CA (2016)",82,33,99,,,,,,,,,
"FAUST, Napa Valley, CA (2018)",89,36,89,,,,,,,,,
"STAG'S LEAP ""ARTEMIS"", Napa Valley, CA (2018)",110,44,110,,,,,,,,,
"PEJU, Napa Valley, CA (2015)",109,44,131,,,,,,,,,ed
"FREEMARK ABBEY, Napa Valley, CA (2014)",114,46,137,,,,,,,,,
"CAYMUS VINEYARDS, Napa Valley, CA (2019)",149,60,149,,,,,,,,,
"CAYMUS VINEYARDS , Napa Valley, CA (2018) (1L Bottle)",170,,,,,,,,,,,
Wine Is Subject To Availability And Vintage Changes,,,,,,,,,,,,
,,,,,,,,,,,,
Wine Is Subject To Availability And Vintage Changes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,